valuation_date,expiry,maturity,spot,rate,dividend,strike,call_mid
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,319.000000,18.3000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,320.000000,17.6900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,321.000000,17.1500000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,322.000000,16.5900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,323.000000,16.0300000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,324.000000,15.4800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,325.000000,14.9600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,326.000000,14.4200000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,327.000000,13.8900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,328.000000,13.3800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,329.000000,12.8800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,330.000000,12.3800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,331.000000,11.9000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,332.000000,11.4200000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,333.000000,10.9600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,334.000000,10.5000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,335.000000,10.0600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,336.000000,9.6300000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,337.000000,9.2000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,338.000000,8.6900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,339.000000,8.3900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,340.000000,8.0000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,341.000000,7.6300000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,342.000000,7.2600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,343.000000,6.9100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,344.000000,6.5600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,345.000000,6.3400000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,346.000000,5.9300000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,347.000000,5.6300000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,348.000000,5.3400000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,349.000000,5.0600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,350.000000,4.7800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,351.000000,4.5300000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,352.000000,4.2900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,353.000000,4.0600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,354.000000,3.8400000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,355.000000,3.6300000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,356.000000,3.4400000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,357.000000,3.2200000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,358.000000,3.0800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,359.000000,2.9200000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,360.000000,2.7600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,361.000000,2.6100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,362.000000,2.4700000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,363.000000,2.3400000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,364.000000,2.2200000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,365.000000,2.1100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,366.000000,2.0100000000
